Age,Sex,Height,Weight,Job,ExerciseFrequency,ExerciseToughness,Necessary Screen Time,ProductiveScreenTime,SocialMedia,VideoGames,OnlineShopping,Binge Watching,Ebooks,OptimumScreenTime,NumberOfDevices ,HumanInteraction,sleep
young,Female,1.5242,71,Student,Only on week-ends ( or 2 days a week),1,9,2,3,0,0,4,2,4,3,1,6 to 8 hours
teen,Female,1.5244,50,Student,never,0,2,1,0,0,0,1,0,1,1,5,less than 6 hours
young,Male,1.5249,65,"Glamour industry (modelling , acting , music , etc)",Once every day,5,6,2,3,1,2,3,2,3,5,4,6 to 8 hours
young,Male,1.5249,76,"Freelancer;fitness industry;Glamour industry (modelling , acting , music , etc);Social media based industry ( instagram influencer , youtuber , etc )",6 days a week,7,5,1,3,0,1,2,0,5,2,6,6 to 8 hours
young,Female,1.575,46,Legal,3 to 5 days a week,5,8,4,0,0,0,6,0,5,2,6,6 to 8 hours
young,Male,1.803,85,Marketing,3 to 5 days a week,5,7,4,3,1,1,3,1,5,3,6,6 to 8 hours
young,Female,1.5241,48,Design and Architecture,6 days a week,4,7,5,2,1,1,3,1,5,2,5,6 to 8 hours
young,Male,1.778,78,Legal,3 to 5 days a week,5,7,4,0,0,0,4,0,4,2,7,6 to 8 hours
young,Male,1.5249,75,Hospitality and Service,3 to 5 days a week,5,1,1,6,2,1,5,1,5,1,10,6 to 8 hours
old,Male,1.829,81,Legal,Only on week-ends ( or 2 days a week),4,3,1,0,1,0,1,2,3,3,4,6 to 8 hours
young,Female,1.676,72,Management and Administration,once a week,5,3,2,1,0,0,1,1,3,3,4,less than 6 hours
young,Female,1.651,68,Hospitality and Service,Only on week-ends ( or 2 days a week),3,5,1,1,0,0,2,1,3,2,5,6 to 8 hours
young,Male,1.8292,78,"Glamour industry (modelling , acting , music , etc)",3 to 5 days a week,5,4,2,1,1,0,1,1,4,3,3,less than 6 hours
young,Male,1.702,70,"Primary sector (raw material based industry like Agriculture , Mining , etc)",once a week,7,2,2,1,0,0,1,0,3,2,3,6 to 8 hours
old,Male,1.727,77,"Academic (Professor , Teachers , etc)",Only on week-ends ( or 2 days a week),4,5,1,0,1,0,1,1,3,3,4,6 to 8 hours
young,Male,1.803,79,Bureaucracy,6 days a week,6,7,3,2,1,1,3,1,5,2,7,6 to 8 hours
young,Female,1.626,50,Health Care;Student,3 to 5 days a week,4,6,6,2,0,0,2,0,5,2,8,6 to 8 hours
young,Male,1.8291,75,"Glamour industry (modelling , acting , music , etc)",Twice a day,8,2,1,4,0,4,2,0,4,1,7,6 to 8 hours
young,Female,1.626,55,Marketing,3 to 5 days a week,4,6,4,4,1,2,5,2,5,3,6,6 to 8 hours
young,Female,1.6,55,Bureaucracy,rarely,2,10,7,4,0,2,6,3,7,3,6,6 to 8 hours
young,Male,1.829,79,Hospitality and Service,6 days a week,7,4,4,2,2,1,1,1,4,3,7,6 to 8 hours
young,Female,1.6,75,Freelancer,once a week,6,6,3,1,1,0,2,2,5,2,2,less than 6 hours
old,Male,1.727,74,"Primary sector (raw material based industry like Agriculture , Mining , etc)",3 to 5 days a week,6,1,2,0,0,0,1,1,4,1,3,6 to 8 hours
teen,Female,1.626,61,"Social media based industry ( instagram influencer , youtuber , etc )",6 days a week,4,7,2,8,1,3,3,1,7,3,1,6 to 8 hours
teen,Female,1.651,51,Student,3 to 5 days a week,3,2,3,0,0,0,2,0,3,1,8,6 to 8 hours
young,Female,1.6,65,Management and Administration,rarely,1,5,3,2,1,4,5,1,7,6,3,more than 8 hours
young,Male,1.5247,80,Bureaucracy,once a week,1,7,4,2,3,7,4,1,8,4,4,6 to 8 hours
young,Female,1.575,52,Health Care,6 days a week,3,4,4,1,1,2,2,2,4,2,7,6 to 8 hours
young,Female,1.651,58,"Glamour industry (modelling , acting , music , etc)",Once every day,8,3,1,1,0,2,1,1,4,2,5,6 to 8 hours
young,Female,1.626,67,Design and Architecture,Only on week-ends ( or 2 days a week),7,6,2,0,0,0,1,1,4,3,2,less than 6 hours
young,Female,1.6,55,Health Care,6 days a week,6,3,2,0,0,0,0,1,3,2,7,less than 6 hours
old,Male,1.727,72,Marketing,3 to 5 days a week,6,3,2,1,1,0,0,2,3,2,5,less than 6 hours
young,Female,1.626,60,"Social media based industry ( instagram influencer , youtuber , etc )",Once every day,6,6,2,2,0,1,2,1,3,3,3,less than 6 hours
old,Female,1.6,56,"Academic (Professor , Teachers , etc)",3 to 5 days a week,8,4,3,1,0,0,1,3,3,2,4,less than 6 hours
young,Female,1.575,58,Design and Architecture,rarely,1,8,5,4,2,3,4,2,6,4,6,6 to 8 hours
young,Male,1.702,60,fitness industry,Twice a day,9,1,1,4,0,1,2,0,4,1,10,6 to 8 hours
