Age,Sex,Height,Weight,Job,ExerciseFrequency,ExerciseToughness,Necessary Screen Time,ProductiveScreenTime,SocialMedia,VideoGames,OnlineShopping,Binge Watching,Ebooks,OptimumScreenTime,NumberOfDevices ,HumanInteraction,sleep
young,Male,1.5249,65,Science and Technology;Student,Only on week-ends ( or 2 days a week),2,7,4,2,2,0,1,1,3,2,2,6 to 8 hours
teen,Male,1.803,67,Student,6 days a week,10,5,8,1,0,0,1,3,4,3,4,6 to 8 hours
teen,Female,1.626,52,Science and Technology;Student,once a week,4,10,7,2,0,0,1,0,4,2,2,6 to 8 hours
young,Female,1.52,53,Student,rarely,8,8,5,5,0,0,3,3,2,2,6,6 to 8 hours
young,Male,1.778,70,Science and Technology;Student,3 to 5 days a week,3,10,8,3,0,0,1,0,10,5,4,6 to 8 hours
young,Female,1.5241,54,Student,Only on week-ends ( or 2 days a week),2,4,2,4,1,0,3,1,7,2,1,6 to 8 hours
old,Female,1.52,43,Science and Technology,Once every day,2,7,1,0,0,0,2,0,2,4,1,6 to 8 hours
young,Male,1.778,70,Student,3 to 5 days a week,8,5,5,5,3,0,2,0,4,5,2,6 to 8 hours
young,Male,1.5249,63,Student,3 to 5 days a week,8,4,2,1,0,0,1,0,5,3,7,6 to 8 hours
young,Female,1.6,47,Science and Technology,Only on week-ends ( or 2 days a week),2,5,4,3,0,0,2,1,3,3,5,6 to 8 hours
teen,Female,1.575,42,Science and Technology;Student,rarely,1,7,2,2,0,0,0,0,1,2,1,6 to 8 hours
young,Male,1.5249,72,Student,rarely,3,8,7,2,1,0,2,0,5,3,3,6 to 8 hours
young,Male,1.702,68,Science and Technology;Student,rarely,8,2,3,1,1,0,1,1,5,3,1,more than 8 hours
young,Male,1.702,76,Science and Technology;Student,rarely,4,9,8,7,7,8,7,7,6,5,7,6 to 8 hours
young,Female,1.575,51,Student,3 to 5 days a week,5,6,3,2,0,0,0,0,5,2,2,6 to 8 hours
young,Female,1.52,54,"Science and Technology;Management and Administration;Social media based industry ( instagram influencer , youtuber , etc )",never,0,10,2,10,0,1,1,0,0,4,2,6 to 8 hours
teen,Male,1.778,75,Student,rarely,7,4,2,1,3,0,2,0,1,3,1,more than 8 hours
young,Female,1.6,59,Science and Technology,rarely,3,6,5,2,0,0,3,0,1,2,2,6 to 8 hours
young,Female,1.626,75,"Science and Technology;Marketing;Design and Architecture;Student;Freelancer;Social media based industry ( instagram influencer , youtuber , etc )",once a week,6,6,3,2,0,0,3,0,6,4,3,6 to 8 hours
young,Male,1.702,82,Science and Technology;Student,3 to 5 days a week,4,10,8,1,2,0,1,0,7,2,5,6 to 8 hours
old,Male,1.727,73,Legal,6 days a week,7,4,3,0,0,0,1,0,3,2,2,6 to 8 hours
young,Male,1.803,84,Student,Once every day,8,7,4,4,0,0,2,0,2,3,2,6 to 8 hours
young,Male,1.8292,95,Science and Technology,Only on week-ends ( or 2 days a week),6,10,6,4,0,0,0,0,8,4,2,6 to 8 hours
young,Male,1.676,88,Student,3 to 5 days a week,8,4,2,1,1,0,2,0,3,3,4,6 to 8 hours
young,Male,1.676,58,Science and Technology,3 to 5 days a week,5,7,5,2,6,2,6,5,4,4,5,6 to 8 hours
young,Male,1.702,78,Science and Technology;Student,Only on week-ends ( or 2 days a week),7,10,6,1,6,0,10,1,10,3,0,6 to 8 hours
teen,Male,1.626,49,Student,3 to 5 days a week,8,5,7,2,3,0,3,0,10,5,2,less than 6 hours
teen,Female,1.575,51,Student,Only on week-ends ( or 2 days a week),2,10,7,3,0,0,0,0,7,2,2,6 to 8 hours
young,Female,1.5247,57,Science and Technology,Once every day,5,9,2,1,0,0,0,0,10,3,2,6 to 8 hours
young,Female,1.626,60,Science and Technology,3 to 5 days a week,8,6,1,1,0,0,0,0,3,3,4,6 to 8 hours
young,Male,1.778,80,Student,3 to 5 days a week,6,9,3,3,4,0,2,0,7,3,3,6 to 8 hours
young,Male,1.727,77,Student,3 to 5 days a week,9,6,4,2,1,0,1,0,6,2,0,6 to 8 hours
young,Female,1.702,72,Student,Only on week-ends ( or 2 days a week),6,8,8,5,6,7,6,4,4,3,6,6 to 8 hours
young,Female,1.5241,50,Science and Technology;Student,3 to 5 days a week,5,6,3,1,0,0,1,0,4,3,4,6 to 8 hours
young,Female,1.651,60,Science and Technology,once a week,5,4,2,2,0,0,1,0,2,2,1,less than 6 hours
young,Female,1.6,60,Science and Technology;Management and Administration;Student,once a week,5,8,3,5,4,1,1,1,3,2,5,6 to 8 hours
